trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,soundEffect.started,text.stopped,boomSlide.stopped,soundEffect.stopped,ending.started,feedbackFinal.started,key_resp_2.started,feedbackFinal.stopped,key_resp_2.stopped,ending.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,0,117.29506089999632,,117.27995799999917,117.29506089999632,117.29506089999632,117.29506089999632,117.29506089999632,117.29506089999632,117.29506089999632,117.81597229999898,21,1,False,0.05,54,2.7,0.1234375,0.246875,"['l', 'a']","[0.28264889999991283, 0.5137126999907196]","[None, None]",117.81715299999632,117.84467489999952,117.83144836000137,117.84467489999952,117.83022089999577,117.84467489999952,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
21,0,21,0,117.84467489999952,,117.830575400003,117.84467489999952,117.84467489999952,117.84467489999952,117.84467489999952,117.84467489999952,117.84467489999952,118.39937470000586,18,1,False,0.05,55,2.75,0.1234375,0.246875,"['l', 'a']","[0.2996642000071006, 0.5566128000064055]","[None, None]",118.40082609999808,118.44524790000287,118.41426176000532,118.44524790000287,118.42987079999875,118.44524790000287,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
22,0,22,0,118.44524790000287,,118.43021059999592,118.44524790000287,118.44524790000287,118.44524790000287,118.44524790000287,118.44524790000287,118.44524790000287,119.03207800000382,10,2,False,0.1,57,2.85,0.146875,0.29375,"['l', 'l', 'a']","[0.259099500006414, 0.419137300006696, 0.5874883000069531]","[None, None, None]",119.0333008000016,119.06806360000337,119.04722846000077,119.06806360000337,119.04970669999602,119.06806360000337,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
23,0,23,0,119.06806360000337,,119.05004519999784,119.06806360000337,119.06806360000337,119.06806360000337,119.06806360000337,119.06806360000337,119.06806360000337,119.66459020000184,11,2,False,0.1,59,2.95,0.146875,0.29375,"['l', 'l', 'a']","[0.25349719999940135, 0.4053434999950696, 0.5888665999955265]","[None, None, None]",119.6658102000074,119.69434750000073,119.68000825999916,119.69434750000073,119.67956970000523,119.69434750000073,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
24,0,24,0,119.69434750000073,,119.6799108999985,119.69434750000073,119.69434750000073,119.69434750000073,119.69434750000073,119.69434750000073,119.69434750000073,120.66400180000346,31,4,False,0.2,63,3.15,0.19375,0.3875,"['l', 'l', 'l', 'l', 'a']","[0.2259565999993356, 0.40300700000079814, 0.5940510999935213, 0.7622027000033995, 0.9709616000036476]","[None, None, None, None, None]",120.66561500000535,120.68910190000315,120.67911506000819,120.68910190000315,120.66990670000087,120.68910190000315,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
25,0,25,0,120.68910190000315,,120.67025189999549,120.68910190000315,120.68910190000315,120.68910190000315,120.68910190000315,120.68910190000315,120.68910190000315,121.56302490000962,30,4,False,0.2,67,3.35,0.19375,0.3875,"['l', 'l', 'l', 'l', 'a']","[0.18373040000733454, 0.37695950000488665, 0.5517182000039611, 0.7197020000021439, 0.8729198000073666]","[None, None, None, None, None]",121.56426280000596,121.60628100000031,121.57820505999989,121.60628100000031,121.59032660000958,121.60628100000031,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
26,0,26,0,121.60628100000031,,121.59066290000919,121.60628100000031,121.60628100000031,121.60628100000031,121.60628100000031,121.60628100000031,121.60628100000031,122.67919070000062,29,5,False,0.25,72,3.6,0.2171875,0.434375,"['l', 'l', 'l', 'l', 'l', 'a']","[0.20234679999703076, 0.38639189999958035, 0.56231839999964, 0.7313642999943113, 0.891349600002286, 1.0741019999986747]","[None, None, None, None, None, None]",122.68032040000253,122.7085328999965,122.69426936000382,122.7085328999965,122.68997720000334,122.7085328999965,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
27,0,27,0,122.7085328999965,,122.69031380000524,122.7085328999965,122.7085328999965,122.7085328999965,122.7085328999965,122.7085328999965,122.7085328999965,123.8449430000037,12,5,False,0.25,77,3.85,0.2171875,0.434375,"['l', 'l', 'l', 'l', 'l', 'a']","[0.24559099999896716, 0.4288436000060756, 0.5958728999976302, 0.7798805000056745, 0.9331281000049785, 1.132102899995516]","[None, None, None, None, None, None]",123.84616929999902,123.87510960000509,123.86000246000621,123.87510960000509,123.86012640000263,123.87510960000509,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
28,0,28,0,123.87510960000509,,123.86046399999759,123.87510960000509,123.87510960000509,123.87510960000509,123.87510960000509,123.87510960000509,123.87510960000509,124.79387970000971,4,5,True,0,77,3.85,0.19375,0.3875,"['l', 'l', 'l', 'l', 'l']","[0.2287471000017831, 0.4059162000048673, 0.580838699999731, 0.7569402000081027, 0.9252269999997225]","[None, None, None, None, None]",124.79543230000127,124.8088798999961,124.80892096000461,125.80824379999831,125.79197299999942,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
29,0,29,0,125.80824379999831,,125.79233530000784,125.80824379999831,125.80824379999831,125.80824379999831,125.80824379999831,125.80824379999831,125.80824379999831,127.9250677000091,9,10,True,0,77,3.85,0.3109375,0.621875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.6172665000049165, 0.7932494999986375, 0.970309600001201, 1.090299400006188, 1.2653494999976829, 1.4344752000033623, 1.593265400006203, 1.7702977000008104, 1.9452957000030437, 2.1230049000005238]","[None, None, None, None, None, None, None, None, None, None]",127.92618570000923,127.93967930000508,127.93992116000008,128.93876910000108,128.92284670000663,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
30,0,30,0,128.93876910000108,,128.9232023000077,128.93876910000108,128.93876910000108,128.93876910000108,128.93876910000108,128.93876910000108,128.93876910000108,130.5225325000065,25,8,False,0.4,85,4.25,0.2875,0.575,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.2421916000021156, 0.4103671999910148, 0.5692223999940325, 0.745655299993814, 0.9226122999971267, 1.0979902999970363, 1.282966500002658, 1.4579492999910144, 1.586474099996849]","[None, None, None, None, None, None, None, None, None]",130.5237363000051,130.5690661999979,130.53774976000278,130.5690661999979,130.55029820000345,130.5690661999979,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
31,0,31,0,130.5690661999979,,130.550636400003,130.5690661999979,130.5690661999979,130.5690661999979,130.5690661999979,130.5690661999979,130.5690661999979,132.25452830000722,20,7,False,0.35,92,4.6,0.2640625,0.528125,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.49583919999713544, 0.6798241000069538, 0.8558810999966227, 1.0490643000084674, 1.2320589000009932, 1.3920175999955973, 1.5438295000058133, 1.6888613000046462]","[None, None, None, None, None, None, None, None]",132.25608540000394,132.2790943,132.26976965999785,132.2790943,132.26977790000092,132.2790943,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.26982660000795,132.2790943,132.2790943,137.2820495000051,137.2820495000051,137.26570849999553,None,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
