trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,soundEffect.started,text.stopped,boomSlide.stopped,soundEffect.stopped,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,0,73.09594640000432,,73.07655589999922,73.09594640000432,73.09594640000432,73.09594640000432,73.09594640000432,73.09594640000432,73.09594640000432,74.47773800000141,13,7,False,0.35,196,9.8,0.2640625,0.528125,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.2520122999994783, 0.3959759999997914, 0.5640226000032271, 0.7319935999985319, 0.8999832999979844, 1.0846204999979818, 1.2117386000027182, 1.388320099998964]","[None, None, None, None, None, None, None, None]",74.47938209999847,74.5044446000029,74.49268331999701,74.5044446000029,74.48626910000166,74.5044446000029,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
21,0,21,0,74.5044446000029,,74.4866258999973,74.5044446000029,74.5044446000029,74.5044446000029,74.5044446000029,74.5044446000029,74.5044446000029,75.35989030000201,5,3,False,0.15,199,9.95,0.1703125,0.340625,"['l', 'l', 'l', 'a']","[0.4024277999997139, 0.5473397999958252, 0.7302817999952822, 0.8576200999959838]","[None, None, None, None]",75.3611591000008,75.39464120000048,75.37501171999975,75.39464120000048,75.3763523000016,75.39464120000048,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
22,0,22,0,75.39464120000048,,75.37669959999766,75.39464120000048,75.39464120000048,75.39464120000048,75.39464120000048,75.39464120000048,75.39464120000048,75.85979120000411,15,1,False,0.05,200,10.0,0.1234375,0.246875,"['l', 'a']","[0.33750890000374056, 0.47236490000068443]","[None, None]",75.86117080000258,75.88625039999897,75.87467231999835,75.88625039999897,75.86678000000393,75.88625039999897,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
23,0,23,0,75.88625039999897,,75.86711459999788,75.88625039999897,75.88625039999897,75.88625039999897,75.88625039999897,75.88625039999897,75.88625039999897,76.25926060000347,24,1,False,0.05,201,10.05,0.1234375,0.246875,"['l', 'a']","[0.20466899999883026, 0.372619300003862]","[None, None]",76.2605773000032,76.2830871000042,76.27436451999893,76.2830871000042,76.26690370000142,76.2830871000042,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
24,0,24,0,76.2830871000042,,76.26723830000265,76.2830871000042,76.2830871000042,76.2830871000042,76.2830871000042,76.2830871000042,76.2830871000042,76.55910150000273,22,1,False,0.05,202,10.1,0.1234375,0.246875,"['l', 'a']","[0.11295190000237199, 0.2799248000010266]","[None, None]",76.56044249999832,76.59265659999801,76.57406092000383,76.59265659999801,76.57609719999891,76.59265659999801,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
25,0,25,0,76.59265659999801,,76.57643359999929,76.59265659999801,76.59265659999801,76.59265659999801,76.59265659999801,76.59265659999801,76.59265659999801,77.17530880000413,10,1,False,0.05,203,10.15,0.1234375,0.246875,"['l', 'a']","[0.09850909999659052, 0.586516199997277]","[None, None]",77.17692060000263,77.22541920000367,77.19046131999858,77.22541920000367,77.20663269999932,77.22541920000367,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
26,0,26,0,77.22541920000367,,77.20696540000063,77.22541920000367,77.22541920000367,77.22541920000367,77.22541920000367,77.22541920000367,77.22541920000367,79.09021829999983,19,1,False,0.05,204,10.2,0.1234375,0.246875,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'l', 'a']","[0.1065939999971306, 0.281878499998129, 0.47564129999955185, 0.6977563999971608, 0.8755239000020083, 1.0744505999973626, 1.2657238999963738, 1.4416162999987137, 1.6266365999981645, 1.8575995999999577]","[None, None, None, None, None, None, None, None, None, None]",79.09143910000421,79.12211209999805,79.10524531999909,79.12211209999805,79.10610160000215,79.12211209999805,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
27,0,27,0,79.12211209999805,,79.10644080000202,79.12211209999805,79.12211209999805,79.12211209999805,79.12211209999805,79.12211209999805,79.12211209999805,79.37333670000226,4,1,False,0.05,205,10.25,0.1234375,0.246875,"['l', 'a']","[0.08039370000187773, 0.25640800000110175]","[None, None]",79.37580880000314,79.41478140000254,79.38833202000023,79.41478140000254,79.3970799000017,79.41478140000254,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
28,0,28,0,79.41478140000254,,79.39778659999865,79.41478140000254,79.41478140000254,79.41478140000254,79.41478140000254,79.41478140000254,79.41478140000254,79.63963430000149,7,1,False,0.05,206,10.3,0.1234375,0.246875,"['l', 'a']","[0.08391159999882802, 0.2279121999963536]","[None, None]",79.64083830000163,79.6747636,79.65483671999755,79.6747636,79.65638919999765,79.6747636,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
29,0,29,0,79.6747636,,79.65674079999735,79.6747636,79.6747636,79.6747636,79.6747636,79.6747636,79.6747636,79.88976120000007,23,1,False,0.05,207,10.35,0.1234375,0.246875,"['l', 'a']","[0.07342520000383956, 0.21711180000420427]","[None, None]",79.89102419999836,79.91280220000044,79.90465031999702,79.91280220000044,79.89685389999795,79.91280220000044,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
30,0,30,0,79.91280220000044,,79.89730419999978,79.91280220000044,79.91280220000044,79.91280220000044,79.91280220000044,79.91280220000044,79.91280220000044,80.1392268999989,14,1,False,0.05,208,10.4,0.1234375,0.246875,"['l', 'a']","[0.06637090000003809, 0.2177847999992082]","[None, None]",80.14195550000295,80.1760448999994,80.15439621999758,80.1760448999994,80.15620769999805,80.1760448999994,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
31,0,31,0,80.1760448999994,,80.15653210000164,80.1760448999994,80.1760448999994,80.1760448999994,80.1760448999994,80.1760448999994,80.1760448999994,80.35592739999993,26,1,False,0.05,209,10.45,0.1234375,0.246875,"['l', 'a']","[0.019858699997712392, 0.17983030000323197]","[None, None]",80.35817610000231,80.37782680000237,80.3708647200001,80.37782680000237,80.36659900000086,80.37782680000237,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.36665070000163,80.37782680000237,80.37782680000237,85.36709929999779,None,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
