8.1361 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
13.0945 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.7, -0.9]), rgb=UNKNOWN, text='press "L" to PUMP', units='norm', win=Window(...), wrapWidth=1)
13.0947 	EXP 	window1: mouseVisible = True
13.1032 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.7, -0.9]), rgb=UNKNOWN, text='press "A" to BANK', units='norm', win=Window(...), wrapWidth=1)
13.1033 	EXP 	window1: mouseVisible = True
13.1046 	EXP 	Created debug = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='debug', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
13.1047 	EXP 	window1: mouseVisible = True
13.1098 	EXP 	Created earnings = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='earnings', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='0', units='norm', win=Window(...), wrapWidth=1)
0.0034 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0036 	EXP 	New trial (rep=0, index=0): None
0.0622 	EXP 	balloon: autoDraw = True
0.0622 	EXP 	pump: autoDraw = True
0.0622 	EXP 	bank: autoDraw = True
0.0622 	EXP 	debug: autoDraw = True
2.9477 	DATA 	Keypress: l
3.3638 	DATA 	Keypress: l
3.3654 	EXP 	New trial (rep=1, index=0): None
3.4459 	EXP 	balloon: autoDraw = False
3.4459 	EXP 	pump: autoDraw = False
3.4459 	EXP 	bank: autoDraw = False
3.4459 	EXP 	debug: autoDraw = False
3.4459 	EXP 	balloon: autoDraw = True
3.4459 	EXP 	pump: autoDraw = True
3.4459 	EXP 	bank: autoDraw = True
3.4459 	EXP 	debug: autoDraw = True
3.5139 	DATA 	Keypress: l
3.6513 	DATA 	Keypress: l
3.9471 	DATA 	Keypress: l
3.9485 	EXP 	New trial (rep=2, index=0): None
3.9738 	EXP 	balloon: autoDraw = False
3.9738 	EXP 	pump: autoDraw = False
3.9738 	EXP 	bank: autoDraw = False
3.9738 	EXP 	debug: autoDraw = False
3.9738 	EXP 	balloon: autoDraw = True
3.9738 	EXP 	pump: autoDraw = True
3.9738 	EXP 	bank: autoDraw = True
3.9738 	EXP 	debug: autoDraw = True
4.0970 	DATA 	Keypress: l
4.2475 	DATA 	Keypress: l
4.4303 	DATA 	Keypress: l
4.5972 	DATA 	Keypress: l
5.5123 	DATA 	Keypress: a
5.5135 	EXP 	New trial (rep=3, index=0): None
5.5387 	EXP 	balloon: autoDraw = False
5.5387 	EXP 	pump: autoDraw = False
5.5387 	EXP 	bank: autoDraw = False
5.5387 	EXP 	debug: autoDraw = False
5.5387 	EXP 	balloon: autoDraw = True
5.5387 	EXP 	pump: autoDraw = True
5.5387 	EXP 	bank: autoDraw = True
5.5387 	EXP 	debug: autoDraw = True
6.6790 	DATA 	Keypress: a
6.8277 	DATA 	Keypress: a
6.9941 	DATA 	Keypress: a
7.6770 	DATA 	Keypress: l
8.0817 	DATA 	Keypress: a
8.0944 	EXP 	New trial (rep=4, index=0): None
8.1202 	EXP 	balloon: autoDraw = False
8.1202 	EXP 	pump: autoDraw = False
8.1202 	EXP 	bank: autoDraw = False
8.1202 	EXP 	debug: autoDraw = False
8.1202 	EXP 	balloon: autoDraw = True
8.1202 	EXP 	pump: autoDraw = True
8.1202 	EXP 	bank: autoDraw = True
8.1202 	EXP 	debug: autoDraw = True
8.4961 	DATA 	Keypress: l
8.6430 	DATA 	Keypress: a
8.6571 	EXP 	balloon: autoDraw = False
8.6571 	EXP 	pump: autoDraw = False
8.6571 	EXP 	bank: autoDraw = False
8.6571 	EXP 	debug: autoDraw = False
8.6571 	EXP 	earnings: autoDraw = True
10.9236 	DATA 	Keypress: escape
11.0059 	EXP 	bart: status = STOPPED
11.0216 	EXP 	earnings: autoDraw = False
11.0217 	EXP 	bart: status = STOPPED
11.5288 	EXP 	window1: mouseVisible = True
